"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595335";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro marca Toyota modelo etios";"40000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595335";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Motocicleta marca Honda modelo PCX";"20000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001601556";"15";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA LAND CRUISER PR 2005/2006";"77000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595336";"1";"12";"Casa";"uma casa em alvenaria ";"400000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595336";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"um automovel ford ka 1.0 ";"40000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595336";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Volkswagen gol 1.0";"73900,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595338";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Motocicleta Honda CB 300 ano 2010";"12000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595338";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Casa em alvenaria no bairro Jardim Eldorado";"300000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595339";"1";"12";"Casa";"casa em alvenaria no Adalberto Sena";"250000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595339";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Unix Chevrolet ano 2020";"100000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595340";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Fiat Palio ano 2011";"22000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595356";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro modelo Fiesta marca Ford ano 2004";"20000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595356";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Uma motocicleta Honda modelo CG titan ano 2012";"10000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595364";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Hilux 3.0 ano 2003";"40000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595340";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Motocicleta Honda CB 300 ano 2011";"10000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595342";"1";"12";"Casa";"casas em alvenaria";"200000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AC";"AC";"ACRE";"10001595342";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Motocicleta Honda";"10000,00";"23/09/2022";"16:32:35"
