"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001605787";"1";"11";"Apartamento";"Apartamento na Avenida Juca Sampaio, 71, Condomínio Belo  Horizonte, BL. C-02, Ap. 005, Feitosa, Maceió-AL - CEP: 57.042-530, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"86605,68";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001605787";"2";"13";"Terreno";"Localizado na Rua Advogado Nelson de Souza, S/N, QD. N, Lote 33, Serraria, Maceió-AL, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"9000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001605787";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Automóvel Renault Captur Intense 1.6, CVT - 2018/2019, Placa QLL4291, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"95798,82";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001605787";"5";"26";"Linha telefônica";"Linha telefônica (82) 3338-7565 do plano de expansão da TELASA, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"1529,39";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001605787";"6";"41";"Caderneta de poupança";"Poupança da Caixa Econômica Federal, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"38273,28";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610327";"1";"11";"Apartamento";"Conjunto José Tenorio sn bloco 100 APT, área total 40m2";"65000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610327";"2";"13";"Terreno";"Lote 50, QD B Desmembrado Barra Mar, Situado no município da Barra de São Miguel. Área total: 566m2";"150000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610327";"4";"12";"Casa";"Localizada no Condomínio Parque do Futuro I, n. 128, Bairro José Paulino, Atalaia/AL. CEP 57690-000";"300000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610328";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro UNO - Ano 2002/2003";"8000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610330";"10";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TROLLER T4 - ANO 2008";"30000,00";"14/09/2022";"16:05:12"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";"20001610333";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"JEEP COMPASS LIMITED - MODELO 2021";"166700,00";"14/09/2022";"16:05:12"
