"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001596222";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"PASS/ AUTOMOVEL FIAT/SIENA ESSENCE 1.6 2013";"41171,00";"17/09/2022";"16:11:29"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600298";"1";"39";"Outras participações societárias";"100% das quotas da empresa Caila Tavares Carim Parente 02745749269, inscrita no CNPJ sob o n.. 32.423.065/0001-36";"100,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600298";"2";"11";"Apartamento";"localizado em Manaus, no bairro Planalto";"245000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600298";"3";"29";"Outros bens móveis";"Celuloar iPhone 13";"9250,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600298";"4";"29";"Outros bens móveis";"Veículo Elétrico Boram, modelo Sport SP-10 20-A, preto, ano 2022";"14750,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600299";"1";"39";"Outras participações societárias";"Valor das quotas de capital integralizadas na Unimed de Manaus Cooperativa de Trabalho Medico Ltda., inscrita no CNPJ sob o n.. 04.612.990/0001-70";"10165,55";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600299";"2";"39";"Outras participações societárias";"Valor das quotas de capital na Clinica Neurocirurgica do Amazonas S/S Ltda., inscrita no CNPJ sob o n.. 34.486.258/0001-61";"4532,80";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600299";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Aplicação de renda fixa na NU Financeira S.A. - Sociedade de Credito, Financiamento e Investimento, inscrito no CNPJ sob o n.. 30.680.829/0001-43";"100463,37";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600299";"5";"49";"Outras aplicações e Investimentos";"Unimed de Manaus Empreendimentos S.A - Em Recuperação Judicial, CNPJ sob o n.. 23.732.890/0001-21";"30000,60";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600300";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Quatro veículos marca Volkswagen, modelo Gol, cor preta, ano 2021";"240000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600301";"1";"2";"Prédio comercial";"Um prédio comercial no Centro de Manacapuru/AM";"80000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600301";"3";"12";"Casa";"Um imóvel no Conjunto Alberto Ventura, Manacapuru/AM";"150000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600301";"4";"13";"Terreno";"Terreno medindo 513m², Manacapuru/AM";"85000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600302";"1";"12";"Casa";"Um imóvel no bairro Nova Cidade, Manaus/AM";"150000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600303";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Um veículo marca Chevrolet, modelo Prisma, cor branca";"41000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600303";"2";"39";"Outras participações societárias";"100% das quotas da empresa Jemima de Paula Soares 51920069291, inscrita no CNPJ sob o n.. 43.144.461/0001-40";"5000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600304";"1";"12";"Casa";"Um imóvel no bairro Coroado, Manaus/AM";"250000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600304";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Um veículo marca Chevrolet, modelo S10";"130000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600305";"1";"39";"Outras participações societárias";"90% das quotas da empresa JM Construcoes e Navegacoes Ltda, inscrita no CNPJ sob o n.. 05.447.701/0001-97";"2700000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600306";"1";"13";"Terreno";"Um terreno no bairro Parque das Laranjeiras, Manaus/AM";"30000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600308";"1";"11";"Apartamento";"Imóvel no Conjunto Tocantins, 2. Etapa, Bloco 15-A, Manaus/AM";"170000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600309";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Um veículo marca Fiat, modelo Palio";"30000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600310";"1";"39";"Outras participações societárias";"25% das quotas da empresa Sapatinho de Luxo Participacoes Ltda., inscrita no CNPJ sob o n.. 38.313.043/0001-08";"375000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600310";"2";"63";"Dinheiro em espécie - moeda nacional";"Moeda corrente nacional";"125000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600311";"1";"12";"Casa";"Um imóvel no bairro Alvorada, Manaus/AM";"600000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";"40001600312";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Um veículo marca Fiat, modelo Siena, cor vermelha, ano 2011";"26000,00";"23/09/2022";"16:32:35"
