"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"1";"12";"Casa";"Valor pago de um imóvel adquirido em 2021, financiado em 360 meses (5 parcelas pagas)";"13065,55";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"2";"32";"Quotas ou quinhões de capital";"QUOTAS DE CAPITAL NA EMPRESA SAMUEL L P DO RAMO CONTABILIDADE. CNPJ: 37.506.477/0001-53";"1000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595308";"3";"61";"Depósito bancário em conta corrente no País";"Depósito em contas bancárias";"11000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"1";"11";"Apartamento";"Localizado no cumbuco";"250000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"2";"39";"Outras participações societárias";"3 clínicas odontológicas";"160000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001595309";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Ações compradas pelo aplicativo do meu banco";"10000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"JEEP COMPASS ";"132000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"2";"61";"Depósito bancário em conta corrente no País";"CONTA CORRENTE";"7002,53";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601178";"3";"63";"Dinheiro em espécie - moeda nacional";"DINHEIRO EM ESPECIE";"2500,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601179";"1";"63";"Dinheiro em espécie - moeda nacional";"dinheiro";"3000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601181";"1";"12";"Casa";"casa no bairro luciano cavalcante";"250000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601181";"2";"32";"Quotas ou quinhões de capital";"quotas de capital";"2000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"1";"13";"Terreno";"fazenda barão de aquiraz";"176310,60";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"2";"32";"Quotas ou quinhões de capital";"domingos de aguiar neto advogados";"5000,00";"13/09/2022";"17:22:11"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"CE";"CE";"CEARÁ";"60001601183";"3";"32";"Quotas ou quinhões de capital";"dn participações ltda";"172200,00";"13/09/2022";"17:22:11"
