"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"1";"11";"Apartamento";"Imovel situado à SHCSV - QMSW 05 sala 206 - Brasilia ";"52915,87";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"2";"12";"Casa";"Imóvel situado à rua Cristal, 59/62 porta 92 ¿ Vila Mariana São Paulo";"471431,03";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"3";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Aplicação Financeira DI agil ¿ Banco do Brasil";"9641,40";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"4";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Aplicação poupança Caixa Econômica federal";"387782,34";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"Aplicação Financeira Banco do Brasil ¿ Estilo";"27512,21";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"6";"61";"Depósito bancário em conta corrente no País";"Saldo em conta Corrente ¿ Caixa";"133891,14";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595676";"7";"61";"Depósito bancário em conta corrente no País";"Saldo em conta corrente no BRB";"9783,46";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"1";"13";"Terreno";"Terreno situado à Rua Quadra 1, Lote 70, Vila Recanto
das Flores, Santa Maria da Boa Vista-PE";"25000,00";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"2";"13";"Terreno";"Terreno situado à Quadra N, Lote 11, Loteamento Vila
1, Petrolina - PE";"45000,00";"14/09/2022";"18:57:40"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"DF";"DF";"DISTRITO FEDERAL";"70001595677";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Veículo Peugeot 2017HB xr S, 2013";"24573,00";"14/09/2022";"18:57:40"
