"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"1";"3";"Galpão";"50% DE 3 GALPÕES LOCALIZADOS NO BAIRRO JARDIM LIMOEIRO NO MUNICÍPIO DA SERRA - ES";"750000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"2";"12";"Casa";"50% DE UMA CASA LOCALIZADA NO BAIRRO MATA DA PRAIA EM VITÓRIA ES";"750000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"3";"18";"Loja";"PARTICIPACAO COM TERCEIROS EM CONSTRUCAO DE LOJA EM REGIME DE CONDOMINIO FECHADO - RGI 2A. ZONA MATR. 2754 L-2 NO. 6/1427 EM VILA VELHA - ES";"160000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO ADQUIRIDO EM 31/08/2011 HONDA CRV PLACA ODA 2568";"95990,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"APLICAÇÕES EM FUNDOS NOS BANCOS SANTANDER, CSHG e XP";"1158182,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"6";"61";"Depósito bancário em conta corrente no País";"CONTAS CORRENTE NOS BANCOS SANTANDER, CAIXA E BANCO DO BRASIL";"31097,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"7";"74";"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado";"FUNDOS DIVERSOS (AÇÕES, MULTIMERCADO, CAMBIAL, BDR) NOS BANCOS SANTANDER, CSHG, XP E NO CLUBE DE INVESTIMENTOS INVESTVALE";"961336,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"8";"79";"Outros fundos";"FUNDOS DE PREVIDÊNCIA NA TELOS E NA FUNPRESP";"576711,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001598671";"9";"92";"Título de clube e assemelhado";"TÍTULO CLUBE ÍTALO BRASILEIRO EM VITÓRIA";"1000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001601826";"1";"11";"Apartamento";"Apartamento financiado";"310000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602749";"1";"12";"Casa";"casa";"200000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602749";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"moto";"8200,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602750";"1";"11";"Apartamento";"Apartamento";"328372,65";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602750";"2";"99";"OUTROS BENS E DIREITOS";"90% participação capital social de empresa";"45000,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602750";"3";"99";"OUTROS BENS E DIREITOS";"99% de participação no capital social de empresa";"45900,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602751";"1";"11";"Apartamento";"Apartamento";"894957,65";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602751";"2";"12";"Casa";"casa ";"723088,54";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602752";"1";"11";"Apartamento";"apartamento";"90585,56";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602752";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"carro";"162185,77";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602752";"3";"59";"Outros créditos e poupança vinculados";"CONTA CORRENTE ITAÚ";"10,00";"15/09/2022";"14:01:31"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"ES";"ES";"ESPÍRITO SANTO";"80001602752";"4";"59";"Outros créditos e poupança vinculados";"CONTA CORRENTE BANESTES";"6185,67";"15/09/2022";"14:01:31"
