"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599072";"1";"29";"Outros bens móveis";"CARRO L200";"60000,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"1";"11";"Apartamento";"APARTAMENTO IMPERATRIZ/MA";"138786,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"2";"11";"Apartamento";"APARTAMENTO EM IMPERATRIZ/MA";"245493,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"3";"11";"Apartamento";"APARTAMENTO EM IMPERATRIZ/MA";"385288,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"4";"12";"Casa";"CASA IMPERATIZ/MA";"800000,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"5";"12";"Casa";"CASA IMPERATRIZ/MA ";"10000,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"6";"12";"Casa";"CASA EM IMPERATRIZ/MA";"400000,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"7";"13";"Terreno";"25% DE UMA GLEBA DE TERRA NO MUNICÍPIO DE GRAJAÚ";"11228,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"8";"13";"Terreno";"TERRENO EM IMPERATRIZ/MA LOTE 05";"10000,00";"16/09/2022";"11:47:05"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MA";"MA";"MARANHÃO";"100001599073";"9";"13";"Terreno";"TERRENO EM IMPERATRIZ/MA LOTE 04";"10000,00";"16/09/2022";"11:47:05"
