"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"1";"2";"Prédio comercial";"POSTO DE COMBUSTÍVEIS LOCALIZADO NO CENTRO DE OURO PRETO/MG";"4000000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"2";"2";"Prédio comercial";"POUSO DOS VIAJANTES - OURO PRETO UNIDADE CENTRO";"3000000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"3";"2";"Prédio comercial";"PRÉDIO COMERCIAL LOCALIZADO EM OURO BRANCO";"2000000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"4";"2";"Prédio comercial";"POUSO DOS VIAJANTES ¿ UNIDADE BAIRRO OURO PRETO";"2300000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"5";"2";"Prédio comercial";"POUSO DOS VIAJANTES - UNIDADE ITABIRITO";"3000000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"6";"12";"Casa";"LOCALIZADA EM OURO PRETO";"600000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"7";"12";"Casa";"LOCALIZADA EM OURO PRETO";"300000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"8";"12";"Casa";"CASA DO BALANÇO - LOCALIZADA EM OURO PRETO";"1500000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"9";"13";"Terreno";"IMÓVEL RURAL NA LOCALIDADE DE MARACUJÁ";"1500000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"10";"13";"Terreno";"DOIS TERRENOS LOCALIZADOS EM ITABIRITO";"1500000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"11";"13";"Terreno";"TERRENO EM BELO HORIZONTE";"60000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"12";"13";"Terreno";"IMÓVEL RURAL EM ITABIRITO";"100000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"13";"13";"Terreno";"LOTE - OURO PRETO";"400000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"14";"13";"Terreno";"QUATRO TERRENOS LOCALIZADOS EM OURO BRANCO";"1250000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"15";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO, TOYOTA HILUX, 2021";"300000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"16";"61";"Depósito bancário em conta corrente no País";"BANCO SANTANDER";"63864,71";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595976";"17";"61";"Depósito bancário em conta corrente no País";"BANCO CAIXA";"86003,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595978";"1";"11";"Apartamento";"Apartamento de 80m² em Belo Horizonte - MG no bairro Caiçara";"180000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595978";"2";"12";"Casa";"Casa em Belo Horizonte - MG localizada no bairro Funcionários";"90000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595978";"3";"13";"Terreno";"Lote de 1.480m² em Brumadinha - MG";"250000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595978";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Marca: Suzuki - Modelo: SX4 ";"50000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"1";"13";"Terreno";"Lote número 15 , 216 m² em processo de transição para se tornar zona urbana";"1500,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"2";"13";"Terreno";"Sitio Boa Vista ";"5000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"3";"16";"Construção";"Prédio residencial inacabado ";"200000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"4";"39";"Outras participações societárias";"Capital social integralizado na empresa A F P Dos Santos ME - CNPJ: 00.514.189/0001-30";"120000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"5";"39";"Outras participações societárias";"Capital social integralizado junto a cooperativa de crédito Vale do Mucuri CNPJ: 25.387.655/0001-95";"1724,77";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595979";"6";"99";"OUTROS BENS E DIREITOS";"Móveis e utensilios de uso em escritório";"5000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595983";"1";"12";"Casa";"CASA PARA MORADIA";"670000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595983";"2";"13";"Terreno";"NA RUA SEBASTIÃO ARAUJO, SETOR 16, QUADRA 326, LOTE 140, BAIRRO ALTA VILLA, LAVRAS - MG";"53000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595983";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"RENOUT KWID ZEN 1.0 2018/2019 PLACA QPK 5G78";"31000,00";"14/09/2022";"18:17:50"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MG";"MG";"MINAS GERAIS";"130001595983";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"RENOUT FLUENCE 2014/´2014 PLACA AYR4833";"35000,00";"14/09/2022";"18:17:50"
