"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"1";"11";"Apartamento";"UM APARTAMENTO NO 13, LOCALIZADO NO TERRO DO
EDIFICIO MILAO DO CONDOMINIO RESIDENCIA ITALIA";"80000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"2";"13";"Terreno";"UM TERRENO URBANO ADQUIRIDO DE ARNALDO ALIPIO DE
OLIVEIRA";"18620,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"3";"13";"Terreno";"UM TERRENO URBANO ADQUIRIDO DE ARNALDO ALIPIO DE
OLIVEIRA";"18620,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO AUTOMOTOR MARCA CHEVROLET ONIX";"34589,74";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"5";"49";"Outras aplicações e Investimentos";"SALDO EM CADERNETA DE POUPANCA JUNTO AO BANCO DO
BRASIL SA.";"31818,19";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"6";"49";"Outras aplicações e Investimentos";"SALDO EM CONTA POUPANCA JUNTO A CAIXA ECONOMICA
FEDERAL.";"196,14";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"7";"49";"Outras aplicações e Investimentos";"SALDO EM CONTA POUPANCA JUNTO A CAIXA ECONOMICA
FEDERAL.";"3221,72";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"8";"49";"Outras aplicações e Investimentos";"SALDO EM CONTA CORRENTE JUNTO AO BANCO DO BRASIL
SA";"582,41";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"9";"49";"Outras aplicações e Investimentos";"SALDO DE CONTRIBUICOES TOTAI EM CARTA DE CREDITO DE
CONSORCIO JUNTO A CAIXA CONSORCIOS S/A";"9233,76";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"MS";"MS";"MATO GROSSO DO SUL";"120001596061";"10";"49";"Outras aplicações e Investimentos";"SALDO EM VGBL JUNTO A BRASILPREV NO BANCO DO BRASIL";"14988,76";"23/09/2022";"16:32:35"
