"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"1";"12";"Casa";"CASA RESIDENCIAL JARDIM ESPANHA (DOIS ANDARES)";"399300,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"2";"13";"Terreno";"AREA RURAL DE 305 HECTARES LOCALIZADA NA VICINAL PIRANHEIRA KM 11 - MARABÁ (COM PAGAMENTO PARCELADO EM 5 PARCELAS ANUAIS DE 250.000,00, SENDO A PRIMEIRA PARCELA EM 2022 E A ÚLTIIMA PREVISTA PARA 2026)";"1250000,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"3";"16";"Construção";"CASA SOBRE TERRENO DIMENSÃO DE 5.511M";"132000,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"4";"95";"Consórcio não contemplado";"CONSORCIO NACIONAL VOLKSWAGEN";"40707,46";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"5";"95";"Consórcio não contemplado";"BB CONSORCIOS DE AUTOMOVEIS";"34501,74";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001596649";"6";"99";"OUTROS BENS E DIREITOS";"RENDIMENTOS RECEBIDOS DE PESSOA JURIDICA (SENADO FEDERAL)";"405156,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL RENAULT KWID OUTSID ANO 2022";"63043,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL RENAULT KWID OUTSID ANO 2022";"63043,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"3";"39";"Outras participações societárias";"PARTICIPAÇÃO SOCIETARIA NA EMPRESA CONSULTSERV TREINAMENTOS E CONSULTORIA LTDA";"27000,00";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"4";"49";"Outras aplicações e Investimentos";"RENDIMENTOS DE APLICAÇÃO FINANCEIRA";"12145,96";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"5";"99";"OUTROS BENS E DIREITOS";"RENDIMENTOS RECEBIDOS DE PESSOA JURIDICA - PREFEITURA DE MOJU";"74670,58";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"6";"99";"OUTROS BENS E DIREITOS";"RENDIMENTOS RECEBIDOS DE PESSOA JURIDICA - SEDUC";"117614,13";"15/09/2022";"20:25:38"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PA";"PA";"PARÁ";"140001598302";"7";"99";"OUTROS BENS E DIREITOS";"RECEBIMENTOS DE PESSOA JURIDICA - PREFEITURA DO MOJU";"964,15";"15/09/2022";"20:25:38"
