"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001597601";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Chevrolet Cobalt  1 BA LTZ";"57515,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603119";"1";"16";"Construção";"no bairro nice";"170000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603119";"2";"19";"Outros bens imóveis";"no jardim planalto em santa rita";"50000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603119";"3";"19";"Outros bens imóveis";"imovel no jardim planalto em santa rita";"40000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603119";"4";"61";"Depósito bancário em conta corrente no País";"caixa economica";"41725,99";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603121";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CITROEN C3 EXCLUSIVE ANO 2012";"25000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603121";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FORD FIESTA CLASS ANO 2013";"25000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603121";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"GM CELTA LT ANO 2012";"20000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603121";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"PEUGEOT 206 ANO 2004";"10000,00";"13/09/2022";"21:12:21"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PB";"PB";"PARAÍBA";"150001603122";"1";"11";"Apartamento";"APARTAMENTO LOCALIZADO NO BAIRRO DE PONTA DE CAMPINA, CABEDELO-PB";"500000,00";"13/09/2022";"21:12:21"
