"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597805";"1";"12";"Casa";"SOBRADO 05 NO RESIDENCIAL MUNIQUE Rua Cristiano Strobel 1602, casa 5 - Xaxim CEP: 81.720-140 SALDO FINANCIADO PELO BANCO ITAU";"500000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597805";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTOCICLETA YAMAHA YZF R3 MONSTER";"20000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597805";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Veículo VolksWagem POLO mca, cinza platinum, placa BDX2A72";"27000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597805";"4";"95";"Consórcio não contemplado";"Ademicon Consórcio de Veículos Grupo 0608 Cota 0734.00 Prazo Cota 70 meses";"33123,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597805";"5";"95";"Consórcio não contemplado";"Ademicon Administradora de Consórcios Grupo 660 Cota 1738.00 Prazo 240 meses Consórcio de Imóveis";"187500,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597806";"1";"12";"Casa";"50% de imóvel casa em Cascavel-PR. Matrícula 51.461 do 1. ofício de registro de imóveis de Cascavel - PR.";"400000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597806";"2";"32";"Quotas ou quinhões de capital";"50% de sociedade de prestação de serviços advocatícios POZZA E MATTIOLI ADVOGADOS, CNPJ: 38.193.877/0001-19.";"7500,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597806";"3";"32";"Quotas ou quinhões de capital";"50% da sociedade IMOBILIÁRIA IPÊ VERMELHO MARINGÁ LTDA, CNPJ: 45.007.262/0001-16.";"5000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597806";"4";"63";"Dinheiro em espécie - moeda nacional";"Caixa";"15000,00";"15/09/2022";"20:33:26"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"PR";"PR";"PARANÁ";"160001597807";"1";"11";"Apartamento";"APARTAMENTO EM CURITIBA";"350000,00";"15/09/2022";"20:33:26"
