"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"1";"13";"Terreno";"50% DE ÁREAS DE TERRA";"125000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"2";"19";"Outros bens imóveis";"IMÓVEL ";"100000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"BELINA ANTIGO";"5000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"4";"29";"Outros bens móveis";"50% DE UMA TRAINEIRA";"50000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"5";"49";"Outras aplicações e Investimentos";"APLICAÇÃO";"2173,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"6";"49";"Outras aplicações e Investimentos";"APLICAÇÃO";"32692,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596713";"7";"63";"Dinheiro em espécie - moeda nacional";"DINHEIRO";"100000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"1";"12";"Casa";"CASA";"200000,00";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"2";"32";"Quotas ou quinhões de capital";"PARTICIPAÇÃO SOCIETÁRIA";"56000,00";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"3";"49";"Outras aplicações e Investimentos";"APLICAÇÃO ITAU";"1528,73";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"4";"61";"Depósito bancário em conta corrente no País";"BANCO ITAU";"4468,68";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"5";"63";"Dinheiro em espécie - moeda nacional";"DINHEIRO";"60000,00";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"6";"99";"OUTROS BENS E DIREITOS";"EMPRÉSTIMO";"120000,00";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596714";"7";"99";"OUTROS BENS E DIREITOS";"CRIPTOMOEDA";"8000,00";"25/09/2022";"18:58:37"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596715";"1";"19";"Outros bens imóveis";"IMÓVEL";"550000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596715";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL";"25000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596715";"3";"41";"Caderneta de poupança";"BANCO ITAU";"25000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596716";"1";"12";"Casa";"imóvel residencial";"330000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596716";"2";"15";"Sala ou conjunto";"sala comercial";"95000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596716";"3";"32";"Quotas ou quinhões de capital";"participação societária";"5000,00";"14/09/2022";"14:50:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RJ";"RJ";"RIO DE JANEIRO";"190001596716";"4";"32";"Quotas ou quinhões de capital";"empresa indicidual";"40000,00";"14/09/2022";"14:50:04"
