"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598457";"1";"11";"Apartamento";"APARTAMENTO ";"314951,17";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598457";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO TOYOTA HILUX SW4, ANO 212 ";"80000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598457";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO HILUX SW4 MODELO 2012";"120000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598458";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"30000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598459";"1";"11";"Apartamento";"Apartamento";"260000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598459";"2";"11";"Apartamento";"Apartamento fracionado";"40000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598461";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO TITAN 125 COER VERMELHA ";"8000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598461";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO CELTA COR PRATA ANO DE FABRICAÇÃO 2009-2010";"15000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598462";"1";"12";"Casa";"CASA";"145000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598462";"2";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO JEPP/COMPASS 2018";"116000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598469";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO";"5000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598470";"1";"12";"Casa";"CASA FINANCIADA PELA CAIXA, LOCALIZADA NO BAIRRO PARQUE DAS NAÇÕES, PARNAMIRIM/RN";"300000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598471";"1";"12";"Casa";"CASA";"300000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598475";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Moto Bross ";"12000,00";"16/09/2022";"09:00:01"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RN";"RN";"RIO GRANDE DO NORTE";"200001598480";"1";"12";"Casa";"CASA DE VERANEIO NA PRAIA DE PITITINGA";"100000,00";"16/09/2022";"09:00:01"
