"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"1";"12";"Casa";"ALVENARIA,, AVENIDA CAMPO GRANDE, ROLIM DE MOURA/RO";"85000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"2";"13";"Terreno";"LOTE URBANO 46, AV. CAMPO GRANDE, ROLIM DE MOURA/RO";"35000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"3";"13";"Terreno";"LOTE URBANO 22,QUADRA 23, AV. FRANCISCO FERREIRA MOREIRA, ROLIM DE MOURA/RO";"35000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"4";"14";"Terra nua";"FRAÇÃO, DE UM LOTE RURAL LINHA 155, KM 01";"180000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"5";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MODELO AMAROK, ANO 2013/2014.";"35000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA, COROLLA, ANO 2005 PLACA JXO 8348.";"24000,00";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"7";"32";"Quotas ou quinhões de capital";"COTA CAPITAL COOPERATIVA SICOOB, AGENCIA 3271.";"2573,54";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"8";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE AGENCIA 3271, SICOOB";"824,69";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596833";"9";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE CAIXA ECONOMICA, CONTA 22545- 1, AGENCIA 2755.";"14041,22";"23/09/2022";"16:32:35"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RO";"RO";"RONDÔNIA";"220001596834";"1";"11";"Apartamento";"COM 1  QUARTO/2 SUITE/COZINHA/SALA/LAVANDERIA/GARAGEM.";"140590,00";"23/09/2022";"16:32:35"
