"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596109";"1";"11";"Apartamento";"NA CIDADE DE ERECHIM ";"80000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"1";"11";"Apartamento";"APARTAMENTO 301 EDIFICIO VITORIA, ADQUIRIDO EM04/08/2020 DE MAGNUN BARCAROL CPF 007.873.090-28 POR R$350.000,00 SENDO PAGO EM 2020 R$ 90.000,00 E SALDO APAGAR EM PARCELAS MENSAIS DE R$ 10.000,00.PA";"210000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"2";"32";"Quotas ou quinhões de capital";"EMPRESA A. STRACK EQUIPAMENTOS MEDICOS EIRELI,FUNDADA EM 23/12/2016";"96000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"3";"32";"Quotas ou quinhões de capital";"95,05% DAS QUOTAS EMPRESA STRACK E MEIRELES LTDA";"250000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"4";"32";"Quotas ou quinhões de capital";"EMPRESA SHADOW RESORT AND SUSHI LTDA FUNDADA EM05/07/2021.";"100000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"5";"41";"Caderneta de poupança";"CADERNETA DE POUPANCA CAIXA ECONOMICA FEDERAL AG.CARAZINHO RS";"101801,29";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596110";"6";"99";"OUTROS BENS E DIREITOS";"EMPRESTIMO PARA MINHA EMPRESA STRACK E MEIRELESLTDA";"1146854,18";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596112";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Automóvel Renaul#Logan AutL.ü placa IYI4045IANO 201-7";"42210,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596113";"1";"32";"Quotas ou quinhões de capital";"250 QUOTAS, CORRESPONDENTE A R$25.000,00 NA EMPRESA HERÓICA VILLA BAR E RESTAURANTE LTDA";"25000,00";"13/09/2022";"17:21:04"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"RS";"RS";"RIO GRANDE DO SUL";"210001596115";"1";"13";"Terreno";"01 (Ut l) TERREITO/CÂSÂ - fiNÂNCtÁDO EM GUAíBA";"200000,00";"13/09/2022";"17:21:04"
