"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA HILUX CD 4X4";"120000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"2";"39";"Outras participações societárias";"ASSESCON ASSESSORIA CONTABIL";"60000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA HILUXSW4 SRV 4X4";"180000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"4";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMIONET / S10 LT DD 4 A";"120000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"5";"19";"Outros bens imóveis";"TERRENO URBANO";"30000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"6";"19";"Outros bens imóveis";"IMOVEL URBANO";"138264,39";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"7";"19";"Outros bens imóveis";"TERRENO URBANO";"18000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"8";"19";"Outros bens imóveis";"CASA RESIDENCIAL";"36959,20";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"9";"19";"Outros bens imóveis";"PREDIO COMERCIAL";"38550,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"10";"61";"Depósito bancário em conta corrente no País";"CAIXA ECONOMICA FEDERAL";"69,10";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"11";"61";"Depósito bancário em conta corrente no País";"BANCO ITAU S/A ";"1063,39";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"12";"61";"Depósito bancário em conta corrente no País";"CAIXA ECONOMICA FEDERAL S/A";"3627,23";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001608752";"13";"61";"Depósito bancário em conta corrente no País";"BANCO BRADESCO S/A";"1861,63";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609013";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO COROLA";"50000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"traiblazer 2.8 4x4";"218902,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"2";"22";"Aeronave";"50% aeronave prefixo PT TRA";"3143670,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"3";"22";"Aeronave";"PT OVA";"430000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"4";"23";"Embarcação";"Lancha fibra de vitro 2003";"85000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"5";"32";"Quotas ou quinhões de capital";"99,62% capital soc. araguaia construtora CNPJ 38144143000140";"16901000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"6";"32";"Quotas ou quinhões de capital";"68% capital social park resedá CNPJ 35578605000149";"5375000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"7";"32";"Quotas ou quinhões de capital";"99,06% quotas TOC construtora cnpj 12093317000107";"743000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"8";"32";"Quotas ou quinhões de capital";"99,05% araguaia motos cnpj 02391971000135";"2308400,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"9";"32";"Quotas ou quinhões de capital";"11,11% Liberty Tower CNPJ 18588993000120";"5000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"10";"32";"Quotas ou quinhões de capital";"80% Quotas - ARAGUAIA SHOOPING ARAGUAIA CNPJ 35579265000170";"8000000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609016";"11";"63";"Dinheiro em espécie - moeda nacional";"Valor em espécie";"952000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609017";"1";"32";"Quotas ou quinhões de capital";"100% cap social art sport CNPJ 12523785OOO166";"1500000,00";"18/09/2022";"15:34:10"
"27/09/2022";"18:35:01";"2022";"2";"Eleição Ordinária";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"TO";"TO";"TOCANTINS";"270001609018";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"veiculo amarok 2019/2020";"137044,77";"18/09/2022";"15:34:10"
